,Country,Student,Employment,FormalEducation,UndergradMajor,CompanySize,DevType,YearsCoding,YearsCodingProf,EducationTypes,SelfTaughtTypes,LanguageWorkedWith,Salary,LanguageDesireNextYear,FrameworkWorkedWith,FrameworkDesireNextYear,OperatingSystem,Age,ConvertedSalary
66426,Ghana,No,Employed part-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Mobile developer,3-5 years,0-2 years,,,Java;Python;SQL;HTML;CSS,,Java;Python;SQL;Kotlin,TensorFlow,TensorFlow,Windows,,
148,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Mathematics or statistics,"1,000 to 4,999 employees",Data scientist or machine learning specialist,3-5 years,,,,,,,,,,,
45875,India,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Full-stack developer,6-8 years,6-8 years,"Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher",JavaScript;PHP;SQL;HTML;CSS,,JavaScript;PHP;SQL;HTML;CSS,,,Linux-based,25 - 34 years old,
37998,Russian Federation,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",100 to 499 employees,Back-end developer;Front-end developer;Full-stack developer,9-11 years,3-5 years,"Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",C#;JavaScript;SQL;TypeScript;HTML;CSS,130000,C#;SQL;TypeScript,Angular,Angular;.NET Core;Xamarin,Windows,25 - 34 years old,27600.0
84805,Netherlands,"Yes, full-time","Not employed, but looking for work",Some college/university study without earning a degree,Web development or web design,,Back-end developer;Front-end developer;Marketing or sales professional;Student,3-5 years,0-2 years,,,,,,,,,,
10275,Netherlands,No,Employed full-time,Some college/university study without earning a degree,"Information systems, information technology, or system administration",Fewer than 10 employees,Back-end developer;Engineering manager;Front-end developer;Full-stack developer;System administrator,6-8 years,3-5 years,"Completed an industry certification program (e.g. MCPD);Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder)",The official documentation and/or standards for the technology,C#;JavaScript;SQL;HTML;CSS,3500,TypeScript;Bash/Shell,.NET Core;React,.NET Core;React,Windows,25 - 34 years old,51408.0
6992,Denmark,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Back-end developer;Designer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer,12-14 years,6-8 years,Completed an industry certification program (e.g. MCPD),,C#;JavaScript;SQL;TypeScript;HTML;CSS,53050,C#;SQL;HTML,Spring,.NET Core;Node.js;React,Windows,25 - 34 years old,104640.0
27870,Greece,"Yes, full-time",Employed full-time,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,Fewer than 10 employees,Full-stack developer,3-5 years,0-2 years,"Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",C;C#;Java;JavaScript;SQL;HTML;CSS,,C#;Java;JavaScript;PHP;Python;Ruby;SQL;TypeScript;Kotlin;HTML;CSS,.NET Core;Node.js,Angular;.NET Core;Node.js;React;Cordova;Xamarin,Windows,25 - 34 years old,
19630,Mexico,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Desktop or enterprise applications developer,3-5 years,0-2 years,"Taken an online course in programming or software development (e.g. a MOOC);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder)","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",C++;C#;SQL,9600,Java;PHP;HTML;CSS,.NET Core,Angular;Node.js;Xamarin,Windows,18 - 24 years old,6192.0
7715,Uruguay,"Yes, part-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",10 to 19 employees,Back-end developer;Data scientist or machine learning specialist;Game or graphics developer;Student,6-8 years,0-2 years,"Taken an online course in programming or software development (e.g. a MOOC);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder)","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Internal Wikis, chat rooms, or documentation set up by my company for employees",C#;JavaScript,36200,C#;Groovy;JavaScript;Python;TypeScript,Angular;Node.js,Angular;Django;Node.js;React;TensorFlow,MacOS,25 - 34 years old,
45549,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Full-stack developer,12-14 years,9-11 years,,,JavaScript;Ruby;SQL;CSS,195000,Go;JavaScript;Ruby;SQL;Swift;Kotlin,Angular;React,React,MacOS,25 - 34 years old,195000.0
60042,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",100 to 499 employees,Designer;Desktop or enterprise applications developer;Full-stack developer,3-5 years,0-2 years,"Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees;The technology’s online help system",C++;C#;Go;JavaScript;SQL;TypeScript;Bash/Shell,76000,C#;Go;Rust;TypeScript;Bash/Shell,Angular;.NET Core;Node.js,Angular;.NET Core;Node.js;React;Xamarin;TensorFlow,Windows,25 - 34 years old,76000.0
23568,India,,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",10 to 19 employees,Full-stack developer,0-2 years,0-2 years,,,,,,,,,,
59866,India,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Designer;Front-end developer,3-5 years,3-5 years,"Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon",,,,,,,,,
3374,Cuba,"Yes, full-time",Employed part-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",Fewer than 10 employees,Full-stack developer;System administrator,9-11 years,0-2 years,"Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course","A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book",Assembly;C;C++;C#;Haskell;Java;JavaScript;PHP;Python;SQL;HTML;CSS,200,Assembly;C;C++;C#;Go;Python;Rust;Kotlin,.NET Core;Django,Angular;Django;React;Xamarin;TensorFlow,Windows,18 - 24 years old,2400.0
75750,Luxembourg,"Yes, full-time","Independent contractor, freelancer, or self-employed","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,,Back-end developer;Mobile developer;Student;System administrator,3-5 years,0-2 years,Contributed to open source software,,C#;CoffeeScript;JavaScript;PHP;SQL;VBA;VB.NET;Kotlin;HTML;CSS;Bash/Shell,2000,C#;CoffeeScript;JavaScript;PHP;SQL;VBA;VB.NET;Kotlin,Angular;.NET Core,Angular;.NET Core,Windows,18 - 24 years old,29376.0
