,Country,Student,Employment,FormalEducation,UndergradMajor,CompanySize,DevType,YearsCoding,YearsCodingProf,EducationTypes,SelfTaughtTypes,LanguageWorkedWith,Salary,LanguageDesireNextYear,FrameworkWorkedWith,FrameworkDesireNextYear,OperatingSystem,Age,ConvertedSalary
78943,Turkey,No,"Independent contractor, freelancer, or self-employed","Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",,Back-end developer;Game or graphics developer;Mobile developer,12-14 years,6-8 years,Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Completed an industry certification program (e.g. MCPD);Contributed to open source software,,C++;C#;Go;Objective-C;PHP;Python;SQL;Swift;HTML;CSS,,C++;C#;Lua;Python;Swift,Django;Node.js;React,Angular;.NET Core;Django;Node.js;React;Spark;Cordova,Windows,25 - 34 years old,
83356,United States,"Yes, full-time",,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",,Educator or academic researcher;Front-end developer;Game or graphics developer;Student,6-8 years,0-2 years,"Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Tapping your network of friends, family, and peers versed in the technology",C++;C#;Java;JavaScript;Python;SQL;HTML;CSS,,C++;Java;Python,React,React,Windows,18 - 24 years old,
32153,Turkey,"Yes, part-time",Employed part-time,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",500 to 999 employees,Designer;Mobile developer;Student,6-8 years,,,,,,,,,,,
76857,India,"Yes, full-time","Independent contractor, freelancer, or self-employed","Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",,Back-end developer;Data or business analyst;Designer;DevOps specialist;Front-end developer;Full-stack developer;Mobile developer,9-11 years,6-8 years,"Taken a part-time in-person course in programming or software development;Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees;The technology’s online help system",,80000,,,,,,15024.0
30114,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A social science (ex. anthropology, psychology, political science)",20 to 99 employees,Back-end developer;Front-end developer;Full-stack developer,6-8 years,3-5 years,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Tapping your network of friends, family, and peers versed in the technology",Clojure;JavaScript;Ruby;HTML;CSS;Bash/Shell,130000,JavaScript;Ruby;HTML;CSS;Bash/Shell,Angular;Node.js;React;Spring,Node.js;React,MacOS,25 - 34 years old,130000.0
70861,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",10 to 19 employees,"Back-end developer;C-suite executive (CEO, CTO, etc.);Database administrator;Front-end developer;Full-stack developer;System administrator",18-20 years,15-17 years,,,Go;JavaScript;PHP;Python;SQL;HTML;CSS;Bash/Shell,,Go;JavaScript;PHP;HTML;CSS,Node.js,Node.js,Windows,,
4957,India,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration",20 to 99 employees,Mobile developer,3-5 years,3-5 years,"Taken an online course in programming or software development (e.g. a MOOC);Completed an industry certification program (e.g. MCPD);Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder)",The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;The technology’s online help system,Java;JavaScript,30000,Java;JavaScript;Kotlin,React,Node.js;React;TensorFlow,Windows,25 - 34 years old,5640.0
64583,United Kingdom,No,Employed full-time,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,100 to 499 employees,Back-end developer;Front-end developer;Full-stack developer,3-5 years,0-2 years,"Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher",JavaScript;PHP;TypeScript;HTML;CSS;Bash/Shell,26000,,Node.js,,Linux-based,25 - 34 years old,36115.0
4290,Germany,No,Employed full-time,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,20 to 99 employees,Back-end developer;Database administrator;Desktop or enterprise applications developer;Embedded applications or devices developer;Front-end developer;Full-stack developer,9-11 years,3-5 years,"Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees;Tapping your network of friends, family, and peers versed in the technology",C;C++;C#;Java;JavaScript;PHP;Python;Scala;SQL;VBA;HTML;CSS;Bash/Shell,100,C++;C#;Java;Scala;Visual Basic 6;Delphi/Object Pascal;HTML;CSS;Bash/Shell,,.NET Core;Node.js,Linux-based,18 - 24 years old,1464.0
79449,Poland,"Yes, full-time",Employed full-time,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",,Mobile developer,9-11 years,6-8 years,"Taken a part-time in-person course in programming or software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees",Swift,8000,Swift;Bash/Shell,,,MacOS,25 - 34 years old,
48565,Switzerland,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Full-stack developer,12-14 years,0-2 years,"Taught yourself a new language, framework, or tool without taking a formal course",The technology’s online help system,C++;Java;JavaScript;TypeScript;HTML;CSS,120000,,Angular;Node.js;TensorFlow,Angular;Node.js,Linux-based,25 - 34 years old,125123.0
75356,"Iran, Islamic Republic of...",No,"Independent contractor, freelancer, or self-employed","Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",,Back-end developer;Data or business analyst;Database administrator;Designer;Desktop or enterprise applications developer;Product manager,12-14 years,3-5 years,Taken a part-time in-person course in programming or software development,,C++;Java;JavaScript;PHP;SQL,,,,,Linux-based,35 - 44 years old,
89483,Germany,"Yes, full-time","Not employed, and not looking for work","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,,Student,3-5 years,,"Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Internal Wikis, chat rooms, or documentation set up by my company for employees",C++;Java;JavaScript;PHP;Python,,C;C++;Go,,,Linux-based,18 - 24 years old,
50280,France,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Mobile developer,9-11 years,3-5 years,"Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees",Java;Kotlin,55000,,,,MacOS,25 - 34 years old,67313.0
14320,Germany,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)","1,000 to 4,999 employees",Database administrator;Desktop or enterprise applications developer,0-2 years,0-2 years,"Taken an online course in programming or software development (e.g. a MOOC);Taught yourself a new language, framework, or tool without taking a formal course",,C++;C#;SQL;Delphi/Object Pascal,,C#;SQL,.NET Core,.NET Core,Windows,,
97961,Brazil,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",,,,,,,,,,,,,,,
15270,Ireland,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",QA or test developer,6-8 years,3-5 years,,,Groovy;Java;JavaScript;Python;Scala;HTML;CSS;Bash/Shell,,Assembly;Go;JavaScript;Python;Scala;Bash/Shell,,Django;Node.js;React,Windows,,
83373,Colombia,"Yes, full-time","Not employed, but looking for work","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,,Back-end developer;Desktop or enterprise applications developer,0-2 years,0-2 years,"Taken an online course in programming or software development (e.g. a MOOC);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","The official documentation and/or standards for the technology;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",Java;JavaScript;PHP;Python;SQL;HTML;CSS;Bash/Shell,,Assembly;C;C++;Go;Kotlin,Django;Node.js;React,Angular;Django;Node.js;React,Windows,Under 18 years old,
65673,Canada,"Yes, full-time",Employed part-time,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,10 to 19 employees,Back-end developer;Data scientist or machine learning specialist;DevOps specialist;Front-end developer;Full-stack developer;Mobile developer;Student,0-2 years,,,,C;JavaScript;HTML;CSS,,C++;C#;Java;PHP;Python;Ruby;Swift,Angular;Node.js;Spark,.NET Core;Django;Hadoop;React,MacOS,,
67297,Serbia,No,Employed full-time,Some college/university study without earning a degree,Mathematics or statistics,100 to 499 employees,Back-end developer;Desktop or enterprise applications developer;Full-stack developer,24-26 years,,,,C#;JavaScript,,C#;JavaScript;Matlab;Python,.NET Core;Node.js,.NET Core;Hadoop;Node.js,Windows,,
40468,India,"Yes, full-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",,6-8 years,6-8 years,Taken an online course in programming or software development (e.g. a MOOC),,C#;JavaScript;SQL;HTML;CSS,,C#;JavaScript;SQL;HTML;CSS,.NET Core,.NET Core,Windows,,
12796,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Data scientist or machine learning specialist;Desktop or enterprise applications developer;Full-stack developer,6-8 years,3-5 years,"Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow",C;C++;C#;Java;JavaScript;Julia;Matlab;Python;HTML;CSS;Bash/Shell,90000,C;C++;C#;Java;Julia;Python;Bash/Shell,.NET Core,.NET Core,Windows,18 - 24 years old,90000.0
58619,Sweden,"Yes, full-time",Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)","1,000 to 4,999 employees",Back-end developer;Full-stack developer,21-23 years,15-17 years,"Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",C#;TypeScript;HTML;CSS,42500,C#;TypeScript;HTML;CSS,,,Windows,35 - 44 years old,63624.0
63346,Malaysia,"Yes, part-time",Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",10 to 19 employees,"Back-end developer;C-suite executive (CEO, CTO, etc.);DevOps specialist;Full-stack developer;Product manager",9-11 years,6-8 years,"Taken an online course in programming or software development (e.g. a MOOC);Taken a part-time in-person course in programming or software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",JavaScript;PHP;SQL;TypeScript;HTML;CSS,,CoffeeScript;Go;Python;R;Ruby;Kotlin,Angular;Cordova,Django;Node.js;React;TensorFlow;Torch/PyTorch,MacOS,25 - 34 years old,
27650,Jordan,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Data or business analyst;Data scientist or machine learning specialist;Database administrator;Full-stack developer,12-14 years,9-11 years,,,C#;JavaScript;SQL;HTML;CSS,,C#;JavaScript;SQL;HTML;CSS,.NET Core,.NET Core,Windows,,
35568,Brazil,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","A business discipline (ex. accounting, finance, marketing)",10 to 19 employees,Data or business analyst;Data scientist or machine learning specialist;DevOps specialist;Educator or academic researcher,9-11 years,3-5 years,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Contributed to open source software",Questions & answers on Stack Overflow,Python;R;SQL,8000,Python,TensorFlow,TensorFlow,Windows,45 - 54 years old,29940.0
29819,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",500 to 999 employees,Full-stack developer,12-14 years,9-11 years,"Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","The official documentation and/or standards for the technology;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",Java;JavaScript;PHP;Python;SQL;HTML;CSS;Bash/Shell,152000,,Node.js;React,,MacOS,25 - 34 years old,152000.0
94539,Ukraine,"Yes, full-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",,,,,,,,,,,,,,,
34856,Brazil,,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",Fewer than 10 employees,Full-stack developer,9-11 years,3-5 years,"Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;The technology’s online help system",C;C++;C#;Go;Java;JavaScript;Python;SQL,,Go;Java;JavaScript;Python;SQL;Kotlin,Django;Node.js;React,Django;Node.js;TensorFlow,Linux-based,25 - 34 years old,
55352,Spain,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration",20 to 99 employees,Back-end developer;Database administrator;DevOps specialist;Engineering manager;System administrator,12-14 years,3-5 years,"Taken an online course in programming or software development (e.g. a MOOC);Taken a part-time in-person course in programming or software development;Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",C#;Go;Groovy;Java;JavaScript;Lua;PHP;Python;Ruby;Rust;Scala;SQL;Kotlin;HTML;CSS;Bash/Shell,55000,Go;Java;Python;Ruby;Rust;Kotlin;HTML;CSS,.NET Core;Django,Django,MacOS,25 - 34 years old,67313.0
13480,Slovenia,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",,20 to 99 employees,Back-end developer,0-2 years,0-2 years,,,,,,,,,,
47656,United States,No,Employed full-time,Associate degree,Web development or web design,Fewer than 10 employees,Back-end developer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer,3-5 years,3-5 years,"Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder)","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Tapping your network of friends, family, and peers versed in the technology",C++;C#;JavaScript;Matlab;PHP;Ruby;SQL;TypeScript;VB.NET;HTML;CSS,50000,C#;JavaScript;Ruby;SQL;TypeScript,Node.js,Angular;Node.js,Windows,18 - 24 years old,50000.0
22564,United Kingdom,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Full-stack developer,27-29 years,21-23 years,"Taken an online course in programming or software development (e.g. a MOOC);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",C#;Java;JavaScript;Python;R;SQL;VB.NET;HTML;CSS;Bash/Shell,,,Angular;.NET Core;Django;Node.js;Xamarin;Spring,React,Windows,35 - 44 years old,
58819,"Iran, Islamic Republic of...",No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Data or business analyst;Designer;Desktop or enterprise applications developer;Full-stack developer,18-20 years,18-20 years,"Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder)",,Groovy;Java;JavaScript,6500000,Java;JavaScript,Spring,Spring,Windows,35 - 44 years old,2160.0
92735,Philippines,No,"Not employed, but looking for work","Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration",,Back-end developer;DevOps specialist;Full-stack developer;System administrator,6-8 years,,,,,,,,,,,
89204,Canada,No,"Independent contractor, freelancer, or self-employed","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,,Back-end developer;Student,3-5 years,,"Taken an online course in programming or software development (e.g. a MOOC);Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees",Go;JavaScript;PHP;Python;HTML;CSS;Bash/Shell,,C++;Go;Java;Swift,Node.js;React;Cordova,Django;Xamarin;TensorFlow,Windows,Under 18 years old,
80122,Italy,No,"Independent contractor, freelancer, or self-employed","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,,"Back-end developer;C-suite executive (CEO, CTO, etc.);Desktop or enterprise applications developer;Front-end developer;Full-stack developer;Marketing or sales professional;Mobile developer",18-20 years,9-11 years,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Internal Wikis, chat rooms, or documentation set up by my company for employees;The technology’s online help system",C;C++;C#;Java;JavaScript;PHP;SQL;HTML;CSS,1500,C#;Java;JavaScript;PHP;SQL;HTML;CSS,.NET Core,.NET Core;Xamarin,Windows,35 - 44 years old,91800.0
67133,India,No,Employed full-time,,,20 to 99 employees,Full-stack developer,0-2 years,,,,JavaScript;PHP,,,,,Linux-based,,
41601,Canada,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Mathematics or statistics,100 to 499 employees,System administrator,15-17 years,15-17 years,"Completed an industry certification program (e.g. MCPD);Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",Java;JavaScript;Perl;SQL;Visual Basic 6;HTML;CSS;Bash/Shell,100000,Go;Perl;SQL;HTML;CSS;Bash/Shell,,,Windows,35 - 44 years old,80521.0
11409,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Front-end developer;Full-stack developer,6-8 years,3-5 years,"Taken an online course in programming or software development (e.g. a MOOC);Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees;Tapping your network of friends, family, and peers versed in the technology",CoffeeScript;Go;JavaScript;Lua;Ruby;Rust;TypeScript;HTML;CSS;Bash/Shell,"94,000.00",CoffeeScript;Go;JavaScript;HTML;CSS;Bash/Shell,Node.js;React,Node.js;React,MacOS,18 - 24 years old,94000.0
52292,Canada,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Data or business analyst;Data scientist or machine learning specialist;Front-end developer,6-8 years,30 or more years,,,Java;JavaScript;SQL;TypeScript;HTML;CSS,,JavaScript;Python;SQL;TypeScript,Node.js;Cordova;Spring,Node.js;TensorFlow,Windows,,
47831,India,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration",20 to 99 employees,Back-end developer,3-5 years,,,,Java;JavaScript;Python;SQL;HTML;CSS;Bash/Shell,,C++;Java;JavaScript;Python;SQL;Kotlin;CSS;Bash/Shell,Angular;Django;Spring,Hadoop;Node.js;React;Spring,MacOS,,
40457,Canada,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Full-stack developer;Mobile developer;System administrator,18-20 years,15-17 years,"Taken a part-time in-person course in programming or software development;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Tapping your network of friends, family, and peers versed in the technology;The technology’s online help system",Go;Java;JavaScript;Objective-C;PHP;Python;SQL;Swift;Kotlin;HTML;CSS,82000,,React;TensorFlow,,MacOS,35 - 44 years old,66027.0
36993,Germany,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",20 to 99 employees,Back-end developer,9-11 years,9-11 years,"Taken an online course in programming or software development (e.g. a MOOC);Completed an industry certification program (e.g. MCPD);Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow",Scala;Bash/Shell,73000,CoffeeScript;Clojure,,,Linux-based,25 - 34 years old,89343.0
85237,India,"Yes, full-time","Not employed, but looking for work",Some college/university study without earning a degree,Web development or web design,,DevOps specialist;Full-stack developer,0-2 years,0-2 years,"Taken an online course in programming or software development (e.g. a MOOC);Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder)","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",C;C++;HTML;CSS;Bash/Shell,,C++;JavaScript;HTML;CSS;Bash/Shell,,Angular;Django;Node.js;React,Linux-based,18 - 24 years old,
88633,United States,No,"Not employed, but looking for work","Bachelor’s degree (BA, BS, B.Eng., etc.)","A social science (ex. anthropology, psychology, political science)",,Marketing or sales professional,0-2 years,,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Taught yourself a new language, framework, or tool without taking a formal course","A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",HTML;CSS,35000,JavaScript;Python;SQL;HTML;CSS,,.NET Core;Django;Node.js;React,Windows,25 - 34 years old,35000.0
58796,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Back-end developer;Front-end developer;Full-stack developer;Mobile developer,9-11 years,3-5 years,"Taken an online course in programming or software development (e.g. a MOOC);Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow",C++;Go;Java;JavaScript;Python;Swift;HTML;CSS;Bash/Shell,110000,Assembly;C++;Go;Python;Rust;Swift;Kotlin,Node.js;React;TensorFlow,React;TensorFlow,MacOS,18 - 24 years old,110000.0
45024,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Full-stack developer,9-11 years,6-8 years,"Taken an online course in programming or software development (e.g. a MOOC);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",Go;JavaScript;PHP;Ruby;Scala;SQL;TypeScript;HTML;CSS;Bash/Shell,,Clojure;F#;Go;Haskell;JavaScript;Ruby;Rust;Scala;SQL;Ocaml;HTML;CSS;Bash/Shell,React,React,MacOS,25 - 34 years old,
26981,Austria,"Yes, part-time",Employed part-time,Some college/university study without earning a degree,Web development or web design,Fewer than 10 employees,Back-end developer;DevOps specialist;Front-end developer;Full-stack developer;Student;System administrator,12-14 years,9-11 years,"Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees;The technology’s online help system",Assembly;C++;Go;JavaScript;PHP;Python;TypeScript;HTML;CSS;Bash/Shell,,Assembly;C++;Go;JavaScript;PHP;Python;HTML;CSS;Bash/Shell,Angular;Node.js;React;Cordova;TensorFlow,Node.js;React;TensorFlow,MacOS,25 - 34 years old,
24807,Poland,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Designer;Front-end developer;Mobile developer,6-8 years,3-5 years,"Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",C;C#;JavaScript;TypeScript;HTML;CSS,,C++;C#;JavaScript,.NET Core;Node.js,.NET Core;Node.js;TensorFlow,Windows,25 - 34 years old,
62686,India,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Educator or academic researcher;Front-end developer,3-5 years,0-2 years,Completed an industry certification program (e.g. MCPD),,JavaScript;SQL;HTML;CSS;Bash/Shell,,JavaScript;Ruby;TypeScript;HTML;CSS;Bash/Shell,Node.js,Angular;Node.js;React,MacOS,,
93561,India,"Yes, full-time","Not employed, but looking for work","Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",,,3-5 years,,,,,,,,,,,
70719,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Desktop or enterprise applications developer;Full-stack developer,9-11 years,3-5 years,"Taken an online course in programming or software development (e.g. a MOOC);Received on-the-job training in software development;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder)",,C#;Java;JavaScript;SQL;TypeScript;HTML;CSS,75000,C#;Java;JavaScript;SQL;HTML;CSS,,Angular,Windows,25 - 34 years old,1000000.0
86294,India,"Yes, full-time","Not employed, but looking for work","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,,Front-end developer;Student,0-2 years,0-2 years,,,,,,,,,,
96797,Poland,No,Employed full-time,Some college/university study without earning a degree,,,,,,,,,,,,,,,
